"Balanced_accuracy" "Threshold" "Group"
"540" "0.924996678158443" "2600" "OR"
"541" "0.921136932423697" "2600" "OR"
"542" "0.92198080514257" "2600" "OR"
"543" "0.949452893423482" "2600" "OR"
"544" "0.939421371112548" "2600" "OR"
"545" "0.949647545088722" "2600" "OR"
"546" "0.935814748976514" "2600" "OR"
"547" "0.957036712294065" "2600" "OR"
"548" "0.941091324436913" "2600" "OR"
"549" "0.94419768548445" "2600" "OR"
"550" "0.945672224017812" "2600" "OR"
"551" "0.956295896737073" "2600" "OR"
"552" "0.932218281630046" "2600" "OR"
"553" "0.934682594278182" "2600" "OR"
"554" "0.961462148962149" "2600" "OR"
"555" "0.935929272436625" "2600" "OR"
"556" "0.938979665670842" "2600" "OR"
"557" "0.951033381474558" "2600" "OR"
"558" "0.953334590246355" "2600" "OR"
"559" "0.922766969053734" "2600" "OR"
"560" "0.942914871076636" "2600" "OR"
"561" "0.96632780364398" "2600" "OR"
"562" "0.940968137254902" "2600" "OR"
"563" "0.931242388154153" "2600" "OR"
"564" "0.939175170241347" "2600" "OR"
"565" "0.943009643046408" "2600" "OR"
"566" "0.94942313151872" "2600" "OR"
"567" "0.941731586952175" "2600" "OR"
"568" "0.94168347484524" "2600" "OR"
"569" "0.964847195288372" "2600" "OR"
"570" "0.947704338145515" "2600" "OR"
"571" "0.958251877847466" "2600" "OR"
"572" "0.953075945208298" "2600" "OR"
"573" "0.927180564533506" "2600" "OR"
"574" "0.957267919988508" "2600" "OR"
"575" "0.948234710550887" "2600" "OR"
"576" "0.942964763001528" "2600" "OR"
"577" "0.943459159304748" "2600" "OR"
"578" "0.937815664727429" "2600" "OR"
"579" "0.937989891556068" "2600" "OR"
"580" "0.941633493140846" "2600" "OR"
"581" "0.932652679748268" "2600" "OR"
"582" "0.957915105231282" "2600" "OR"
"583" "0.945015227331404" "2600" "OR"
"584" "0.936595481227834" "2600" "OR"
"585" "0.954271798462975" "2600" "OR"
"586" "0.939069095760272" "2600" "OR"
"587" "0.946204032895209" "2600" "OR"
"588" "0.940536881419234" "2600" "OR"
"589" "0.950632740448917" "2600" "OR"
"590" "0.934727054543231" "2600" "OR"
"591" "0.952042179137767" "2600" "OR"
"592" "0.950774861399861" "2600" "OR"
"593" "0.941856470238823" "2600" "OR"
"594" "0.947793005109182" "2600" "OR"
"595" "0.935589861031037" "2600" "OR"
"596" "0.937586871373636" "2600" "OR"
"597" "0.949925851837617" "2600" "OR"
"598" "0.939646637587814" "2600" "OR"
"599" "0.930920733678086" "2600" "OR"
"600" "0.930010065010065" "2600" "OR"
"601" "0.948261419952596" "2600" "OR"
"602" "0.934246375091963" "2600" "OR"
"603" "0.934297834518423" "2600" "OR"
"604" "0.946260469017822" "2600" "OR"
"605" "0.964293345543346" "2600" "OR"
"606" "0.934363607709196" "2600" "OR"
"607" "0.920753788694965" "2600" "OR"
"608" "0.93336440674676" "2600" "OR"
"609" "0.95516101953602" "2600" "OR"
"610" "0.940027876535229" "2600" "OR"
"611" "0.960979763700352" "2600" "OR"
"612" "0.939029942191707" "2600" "OR"
"613" "0.940862531083119" "2600" "OR"
"614" "0.94585102960103" "2600" "OR"
"615" "0.934720516411693" "2600" "OR"
"616" "0.921545643898585" "2600" "OR"
"617" "0.95077439309057" "2600" "OR"
"618" "0.935114578055754" "2600" "OR"
"619" "0.950402840623429" "2600" "OR"
"620" "0.929573961081314" "2600" "OR"
"621" "0.956597895568484" "2600" "OR"
"622" "0.950461655902832" "2600" "OR"
"623" "0.928292762704527" "2600" "OR"
"624" "0.926020937307702" "2600" "OR"
"625" "0.935168291675645" "2600" "OR"
"626" "0.934677925744102" "2600" "OR"
"627" "0.942428958936312" "2600" "OR"
"628" "0.948177001743178" "2600" "OR"
"629" "0.93227722187281" "2600" "OR"
"630" "0.930790707481884" "2600" "OR"
"631" "0.946625772103713" "2600" "OR"
"632" "0.927486812119165" "2600" "OR"
"633" "0.934879535320712" "2600" "OR"
"634" "0.948831619272796" "2600" "OR"
"635" "0.936335434901611" "2600" "OR"
"636" "0.933415536172889" "2600" "OR"
"637" "0.961090381752146" "2600" "OR"
"638" "0.929604755450344" "2600" "OR"
"639" "0.951039197730374" "2600" "OR"
"640" "0.938580640676229" "2600" "OR"
"641" "0.951197927889104" "2600" "OR"
"642" "0.936644356460533" "2600" "OR"
"643" "0.94620870142929" "2600" "OR"
"644" "0.952110716081304" "2600" "OR"
"645" "0.925988068304245" "2600" "OR"
"646" "0.929624237602179" "2600" "OR"
"647" "0.965105625583567" "2600" "OR"
"648" "0.939415849673203" "2600" "OR"
"649" "0.952570172386349" "2600" "OR"
"650" "0.943430070746247" "2600" "OR"
"651" "0.922451214546803" "2600" "OR"
